# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.517731534751374056e+01,1.062278670747269338e+01,2.312766341506495404e+00,-8.542220445588037947e-01,1.341842996296723212e-01,6.549867161288999817e+00,5.553336444168171404e+00
1.527716610637896189e+01,1.069740744395773113e+01,2.378622477295575965e+00,-8.413628019641022915e-01,1.241436470015766652e-01,6.633985947143706596e+00,5.505509816463190376e+00
1.537701686524418498e+01,1.077169798838897563e+01,2.445847473864328325e+00,-8.293013152123960285e-01,1.179330896173886450e-01,6.716340388420449337e+00,5.458633325744992604e+00
1.547686762410940631e+01,1.084475774347651900e+01,2.513541308353459680e+00,-8.177797171342341409e-01,1.133529931301994198e-01,6.797008575322896817e+00,5.412665819472200823e+00
1.557671838297462763e+01,1.091747198432912924e+01,2.582460911693257977e+00,-8.066702234917714209e-01,1.084298358098339521e-01,6.876063056148430164e+00,5.367569045331728184e+00
1.567656914183985073e+01,1.098900662904123493e+01,2.651749150277854294e+00,-7.961037781394881829e-01,1.038267835523992294e-01,6.953571372827418884e+00,5.323307371807274535e+00
1.577641990070507205e+01,1.106014627755908108e+01,2.722104646004499529e+00,-7.857429276015902575e-01,1.050991650395876331e-01,7.029596531700845752e+00,5.279847542484447764e+00
1.587627065957029338e+01,1.113009740335194309e+01,2.792748559286386545e+00,-7.751602638598660278e-01,1.073932833387608171e-01,7.104197418858801072e+00,5.237158459240491837e+00
1.597612141843551647e+01,1.119952685611099241e+01,2.864351180088187121e+00,-7.652043123550471559e-01,8.672413951053233039e-02,7.177429167816651301e+00,5.195210990271428741e+00
1.607597217730073780e+01,1.126827260443261025e+01,2.936480408742919490e+00,-7.580810050366812991e-01,5.576056659707949448e-02,7.249343486048395846e+00,5.153977799561493711e+00
1.617582293616596090e+01,1.133665922271804050e+01,3.009046333626468783e+00,-7.538584835602056833e-01,2.961410317685200799e-02,7.319988945868276531e+00,5.113433194938893145e+00
1.627567369503118044e+01,1.140499741943685663e+01,3.081992081749958423e+00,-7.521510719932643640e-01,6.202840763353137908e-03,7.389411244306021587e+00,5.073552992296631814e+00
1.637552445389640354e+01,1.147309332913954272e+01,3.154851063670167211e+00,-7.508668723954536883e-01,1.950631689924472306e-02,7.457653435922304119e+00,-9.845422108461411526e+00
1.647537521276162664e+01,1.154117606873177415e+01,3.227980695169657910e+00,-7.482524152903254899e-01,3.399572128983219949e-02,7.324646683121795121e+00,-9.358284529937439089e+00
1.657522597162684619e+01,1.160887136472309678e+01,3.301201439041089092e+00,-7.438150495084777658e-01,5.488233707084148177e-02,7.195942287746985855e+00,-8.437570872916582587e+00
1.667507673049206929e+01,1.167629256727934717e+01,3.374931140909405602e+00,-7.373192589172289368e-01,7.497704319277989637e-02,7.077894439683716676e+00,-7.621177830618168336e+00
1.677492748935729239e+01,1.174305318672960574e+01,3.449043365553173590e+00,-7.288829627109705278e-01,9.401211429852258938e-02,6.969550123188554380e+00,-6.887264946403843346e+00
1.687477824822251549e+01,1.180919687598161438e+01,3.523869722132625171e+00,-7.185819774061537046e-01,1.121882540966245706e-01,6.870169696363332967e+00,-6.228976238905106655e+00
1.697462900708773503e+01,1.187444739696368678e+01,3.599371859738034640e+00,-7.065155416251474030e-01,1.294449131313566981e-01,6.779033533477530682e+00,-5.631817574672229654e+00
1.707447976595295813e+01,1.193874018717292884e+01,3.675736876642555551e+00,-6.927727688453632071e-01,1.459156952326841339e-01,6.695566677344779727e+00,-5.089832064974234349e+00
1.717433052481818123e+01,1.200191979652828245e+01,3.753036302269291191e+00,-6.774119345237548107e-01,1.615812152340778962e-01,6.619226989792793781e+00,-4.595332442035152454e+00
1.727418128368340078e+01,1.206381460718291621e+01,3.831305178277844004e+00,-6.605485574535279181e-01,1.764830055935529829e-01,6.549539760872592709e+00,-4.149720044577938971e+00
1.737403204254862388e+01,1.212436518461416135e+01,3.910708482813443077e+00,-6.422135079290950399e-01,1.904761704184741444e-01,6.485966827558737435e+00,-3.729081255422840968e+00
1.747388280141384698e+01,1.218334973884792305e+01,3.991185124719215604e+00,-6.225471221182908854e-01,2.040184412057763352e-01,6.428301680984197297e+00,-3.329444669598286222e+00
1.757373356027906652e+01,1.224071994480369518e+01,4.072896745697127230e+00,-6.015105964345458522e-01,2.171207800435874802e-01,6.376375721993329471e+00,-2.977921812418424352e+00
1.767358431914428962e+01,1.229628820410129819e+01,4.155804268194657425e+00,-5.792407540389122866e-01,2.290604496184937278e-01,6.329571221054661301e+00,-2.690006489041469440e+00
1.777343507800951272e+01,1.234991363495247718e+01,4.239904349472007006e+00,-5.558591418310618870e-01,2.394052018688085648e-01,6.286992402082021592e+00,-2.403345619445524051e+00
1.787328583687473227e+01,1.240163464002336724e+01,4.325460543302985350e+00,-5.314581558042621445e-01,2.496419767757663832e-01,6.248705601642870811e+00,-2.038999844058720701e+00
1.797313659573995537e+01,1.245101195110692238e+01,4.411935504656487872e+00,-5.059901924242080629e-01,2.616614941549089690e-01,6.216038154040909980e+00,-1.706225975378913962e+00
1.807298735460517847e+01,1.249842723275232892e+01,4.500257631495734323e+00,-4.792010909969179888e-01,2.726440461943713811e-01,6.188569658298922249e+00,-1.456735283187482688e+00
1.817283811347039801e+01,1.254296620358788417e+01,4.588920470365279947e+00,-4.516935055421942291e-01,2.812655477376544422e-01,6.165020857112652131e+00,-1.330660027572259096e+00
1.827268887233562111e+01,1.258566988103173045e+01,4.680241755106958834e+00,-4.230344807119095218e-01,2.865591558760092750e-01,6.143431235192968742e+00,-1.281836078312302174e+00
1.837253963120084421e+01,1.262485213369358128e+01,4.770579300677267653e+00,-3.957776512058768237e-01,2.667209213939282786e-01,6.122561778473451177e+00,-2.096063986375115373e+00
1.847239039006606376e+01,1.266240026481890801e+01,4.863848171937656950e+00,-3.700420288418837522e-01,2.450428583038379571e-01,6.088281824282181454e+00,-3.022126947784750328e+00
1.857224114893128686e+01,1.269728400029112692e+01,4.957039041229196918e+00,-3.465889560535473368e-01,2.283732781371559106e-01,6.038514074972258783e+00,-3.790550134644509850e+00
1.867209190779650996e+01,1.273016383567070342e+01,5.051380679226487480e+00,-3.242701750878171918e-01,2.193571699121344698e-01,5.975506139124636462e+00,-4.292800106080240319e+00
1.877194266666173306e+01,1.276121549469483618e+01,5.147226890302256663e+00,-3.023903848973343855e-01,2.165408251472206724e-01,5.903337608693794536e+00,-4.585955303052768883e+00
1.887179342552695260e+01,1.278991963575738744e+01,5.242890695275544743e+00,-2.805223952396194154e-01,2.223528387851039789e-01,5.825253014930336981e+00,-4.377652502328297501e+00
1.897164418439217570e+01,1.281650521687546096e+01,5.339237514155225739e+00,-2.577495261409321614e-01,2.344313994942887336e-01,5.749725979483155669e+00,-4.375372181107624492e+00
1.907149494325739880e+01,1.284102221401466082e+01,5.436970778706165852e+00,-2.337679830963383942e-01,2.392228846137599008e-01,5.673233678770932542e+00,-4.421678501374391779e+00
1.917134570212261835e+01,1.286299778103162694e+01,5.534450165276100009e+00,-2.095828550234195564e-01,2.459648949598892131e-01,5.594869477146025893e+00,-4.380500575556893317e+00
1.927119646098784145e+01,1.288254576696784603e+01,5.632333665308196124e+00,-1.844813303250871783e-01,2.542784973579258478e-01,5.516137403377697090e+00,-4.372578613268298220e+00
1.937104721985306455e+01,1.289980777100224074e+01,5.731928972404086053e+00,-1.587133530085096389e-01,2.565850917141407894e-01,5.436410697093908340e+00,-4.505006448160721710e+00
1.947089797871828409e+01,1.291402110959669436e+01,5.828541463903590625e+00,-1.332784447085713087e-01,2.654264154326178571e-01,5.353027614574201287e+00,-4.464001104138662690e+00
1.957074873758350719e+01,1.292631754547004874e+01,5.930570977474985739e+00,-1.069160826146935417e-01,2.470262149334026547e-01,5.269102091129671983e+00,-5.206407418268302223e+00
1.967059949644873029e+01,1.293557508387781851e+01,6.027498809625059906e+00,-8.387814937218851519e-02,2.252351844184411478e-01,5.169497981757595007e+00,-5.988656052799503193e+00
1.977045025531394984e+01,1.294304718783126162e+01,6.129184385071061669e+00,-6.404762884285286617e-02,1.546948764050427583e-01,5.052500933249414850e+00,-8.065899603303234855e+00
1.987030101417917294e+01,1.294871081790984135e+01,6.226463395903062192e+00,-5.405847418455511644e-02,5.207010093489156805e-02,4.890500310586346266e+00,-1.019908564169608489e+01
1.997015177304439604e+01,1.295383405881274719e+01,6.327091538344491006e+00,-4.710393714221106087e-02,8.617370384571697295e-02,4.677629785023141196e+00,-9.291237627743395677e+00
2.007000253190961558e+01,1.295801500585946542e+01,6.425958981027892314e+00,-3.661909684482456129e-02,1.391365799633071665e-01,4.474901803378608101e+00,-7.792637249983629388e+00
2.016985329077483868e+01,1.296082188729515217e+01,6.525699645198206333e+00,-1.810871407002934141e-02,2.316781930956325342e-01,4.297504469332937838e+00,-6.278392060263443319e+00
2.026970404964006178e+01,1.296131447306574103e+01,6.625344466671290178e+00,9.990442956739009617e-03,3.362326220048410530e-01,4.149064983896393777e+00,-4.913961166386641821e+00
2.036955480850528133e+01,1.295846189530402626e+01,6.725194877581796682e+00,4.886514726703183875e-02,4.403752763841810580e-01,4.029071200363594230e+00,-3.706634157441104804e+00
2.046940556737050443e+01,1.295124831144495658e+01,6.824569795692579710e+00,9.770112929900354182e-02,5.391567288273636516e-01,3.936139513620779962e+00,-2.602601462485230499e+00
2.056925632623572753e+01,1.293867335497380644e+01,6.923669843357788345e+00,1.562701972120374982e-01,6.314698940509556602e-01,3.869554342373427769e+00,-1.464046254119425461e+00
2.066910708510095063e+01,1.291988051071361099e+01,7.021756763998355133e+00,2.238295654975841487e-01,7.215211270725097048e-01,3.831589559126320044e+00,-5.671081440278049474e-02
2.076895784396617017e+01,1.289414090994003281e+01,7.117994785850796369e+00,3.004774667949139388e-01,8.180096654134881851e-01,3.830111397061169320e+00,-1.816960695987619800e+01
2.086880860283139327e+01,1.286045800090601077e+01,7.212323500064955262e+00,3.868875109931884104e-01,9.033562027488631907e-01,3.322838429331902876e+00,-8.232810016713256740e-01
