# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.178238954609619249e+01,7.519050319727975662e+00,1.336316727265667081e+00,-1.740194383453441684e+00,2.950387490798598855e-01,3.723272402404044890e+00,7.128621085090906639e+00
1.188224030496141559e+01,7.615932406406060728e+00,1.320523902735450061e+00,-1.729238632467314130e+00,2.609505726774180578e-02,3.909776698549611851e+00,7.026584188607434278e+00
1.198209106382663691e+01,7.714304487780086816e+00,1.304859669541241551e+00,-1.728935544137784497e+00,-1.938064849838075018e-02,4.085287426784942610e+00,6.930316271038889475e+00
1.208194182269185823e+01,7.810697146907082278e+00,1.289623427583874715e+00,-1.722904633513413497e+00,1.593002480997119386e-01,4.251301922602720218e+00,6.839037866746085825e+00
1.218179258155708133e+01,7.910817139126227637e+00,1.275366162446257334e+00,-1.699381031474093362e+00,2.885473196485796588e-01,4.409006042061041519e+00,6.315682980837937777e+00
1.228164334042230266e+01,8.008519073934474264e+00,1.264247043708941698e+00,-1.667872868616935289e+00,3.483619408963333774e-01,4.549789638621596133e+00,4.708678763823463953e+00
1.238149409928752576e+01,8.109475100335087561e+00,1.256288424773834622e+00,-1.630460492444556930e+00,3.814452633300869921e-01,4.651979799112320180e+00,3.661514913706128027e+00
1.248134485815274708e+01,8.208274699823190801e+00,1.252268397869654271e+00,-1.592299928355560557e+00,3.914107702895255891e-01,4.729918195572611062e+00,3.156821975418888648e+00
1.258119561701796840e+01,8.309802648189892338e+00,1.252127522534024484e+00,-1.551852919113853480e+00,4.007677790815309393e-01,4.796097192145383659e+00,2.692395807028064691e+00
1.268104637588319150e+01,8.408601650724326859e+00,1.255939012313203929e+00,-1.512769822673910802e+00,3.917176636423859715e-01,4.851826852382453481e+00,2.687875958581762870e+00
1.278089713474841282e+01,8.509470854275987151e+00,1.263805460724253482e+00,-1.473136922567921614e+00,3.933343899987675751e-01,4.906831637003594260e+00,2.436611539479495381e+00
1.288074789361363415e+01,8.608216110658435838e+00,1.275414587887644391e+00,-1.434618382747318455e+00,3.814351499734935369e-01,4.956167040814195346e+00,2.535623962034326606e+00
1.298059865247885725e+01,8.707157709660050315e+00,1.290891873105581400e+00,-1.396701047212428159e+00,3.773053318233406950e-01,5.006991081484455819e+00,2.444054266384097396e+00
1.308044941134407857e+01,8.805397918866280094e+00,1.310087115083367060e+00,-1.359104645603375072e+00,3.698523828582225281e-01,5.055496121695411738e+00,2.448494506605330745e+00
1.318030017020929989e+01,8.902632462396871560e+00,1.332847266696107313e+00,-1.322833895580098007e+00,3.568876400387384629e-01,5.103627053929497670e+00,2.603451006540299595e+00
1.328015092907452299e+01,8.999007264510609616e+00,1.359063438875707686e+00,-1.287757175522981967e+00,3.446984094391037368e-01,5.154311032809723692e+00,2.739720885151494034e+00
